year,session,code,unit,max_mark,A*,A,B,C,D,E
2024,june,BL01,BIOLOGY UNIT 1,75,,52,46,41,36,31
2024,june,BL02,BIOLOGY UNIT 2,75,,46,41,36,31,26
2024,june,BL03,BIOLOGY UNIT 3,75,50,45,40,35,30,26
2024,june,BL04,BIOLOGY UNIT 4,75,55,49,43,38,33,28
2024,june,BL05,BIOLOGY UNIT 5,75,52,47,42,37,33,29
2024,june,BU01,BUSINESS UNIT 1,80,,56,49,42,35,28
2024,june,BU02,BUSINESS UNIT 2,80,,53,46,39,32,25
2024,june,BU03,BUSINESS UNIT 3,80,62,55,48,41,34,27
2024,june,BU04,BUSINESS UNIT 4,80,69,61,53,45,38,31
2024,june,CH01,CHEMISTRY UNIT 1,70,,54,48,42,36,30
2024,june,CH02,CHEMISTRY UNIT 2,70,,52,45,38,31,25
2024,june,CH03,CHEMISTRY UNIT 3,80,68,60,52,44,36,29
2024,june,CH04,CHEMISTRY UNIT 4,80,70,62,54,46,38,31
2024,june,CH05,CHEMISTRY UNIT 5,60,52,46,40,34,29,24
2024,june,EC01,ECONOMICS UNIT 1,80,,59,51,43,35,27
2024,june,EC02,ECONOMICS UNIT 2,80,,58,51,44,37,30
2024,june,EC03,ECONOMICS UNIT 3,90,72,64,56,48,40,33
2024,june,EC04,ECONOMICS UNIT 4,90,73,65,57,49,41,33
2024,june,EN01,ENGLISH LANGUAGE UNIT 1,50,,40,35,30,25,21
2024,june,EN02,ENGLISH LANGUAGE UNIT 2,50,,37,33,29,25,21
2024,june,EN03,ENGLISH LANGUAGE UNIT 3,50,44,39,34,29,25,21
2024,june,EN04B,ENGLISH LANGUAGE UNIT 4B,50,45,41,35,30,25,20
2024,june,LT01,ENGLISH LITERATURE UNIT 1,50,,33,28,23,18,14
2024,june,LT02,ENGLISH LITERATURE UNIT 2,50,,34,29,24,19,15
2024,june,LT03,ENGLISH LITERATURE UNIT 3,50,41,36,31,26,21,17
2024,june,LT04A,ENGLISH LITERATURE UNIT 4A,50,35,31,27,23,19,16
2024,june,LT04B,ENGLISH LITERATURE UNIT 4B,50,45,40,34,28,23,18
2024,june,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,,50,44,38,32,26
2024,june,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,,50,43,37,31,25
2024,june,GG02,GEOGRAPHY UNIT 2,80,,50,44,38,32,26
2024,june,GG03,GEOGRAPHY UNIT 3,80,57,50,43,36,30,24
2024,june,GG04,GEOGRAPHY UNIT 4,80,57,50,43,36,30,24
2024,june,GG05,GEOGRAPHY UNIT 5,60,49,43,37,31,25,20
2024,june,FM01,FURTHER MATHS UNIT 1 (FP1),80,,63,54,45,37,29
2024,june,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,,63,55,47,39,31
2024,june,FM03,FURTHER MATHS UNIT 3 (FP2),120,104,92,80,68,56,44
2024,june,FM04,FURTHER MATHS UNIT 4 (FS2),80,71,62,53,44,35,27
2024,june,FM05,FURTHER MATHS UNIT 5 (FM2),80,69,61,53,45,37,30
2024,june,MA01,MATHS UNIT 1 (P1),80,,60,51,43,35,27
2024,june,MA02,MATHS UNIT 2 (PSM1),80,,62,54,46,38,30
2024,june,MA03,MATHS UNIT 3 (P2),120,106,94,82,70,58,47
2024,june,MA04,MATHS UNIT 4 (S2),80,72,64,56,48,40,33
2024,june,MA05,MATHS UNIT 5 (M2),80,70,62,54,46,38,31
2024,june,PH01,PHYSICS UNIT 1,80,,52,47,42,38,34
2024,june,PH02,PHYSICS UNIT 2,80,,46,40,34,29,24
2024,june,PH03,PHYSICS UNIT 3,80,56,50,44,38,32,27
2024,june,PH04,PHYSICS UNIT 4,80,63,56,49,42,35,29
2024,june,PH05,PHYSICS UNIT 5,80,57,50,43,36,30,24
2024,june,PS01,PSYCHOLOGY UNIT 1,90,,61,53,45,37,30
2024,june,PS02,PSYCHOLOGY UNIT 2,90,,66,57,48,40,32
2024,june,PS03,PSYCHOLOGY UNIT 3,90,77,68,59,50,42,34
2024,june,PS04,PSYCHOLOGY UNIT 4,90,74,65,56,47,39,31
2024,june,9695,INTERNATIONAL EXTENDED PROJECT,60,54,48,42,36,30,25
2023,january,BL01,BIOLOGY UNIT 1,75,,48,42,36,30,25
2023,january,BL02,BIOLOGY UNIT 2,75,,45,40,35,30,26
2023,january,BL03,BIOLOGY UNIT 3,75,51,46,41,36,31,26
2023,january,BL04,BIOLOGY UNIT 4,75,50,45,40,35,31,27
2023,january,BL05,BIOLOGY UNIT 5,75,49,44,39,35,31,27
2023,january,BU01,BUSINESS UNIT 1,80,,56,49,42,35,29
2023,january,BU02,BUSINESS UNIT 2,80,,54,47,41,35,29
2023,january,BU03,BUSINESS UNIT 3,80,69,61,53,45,37,29
2023,january,BU04,BUSINESS UNIT 4,80,69,61,53,45,37,30
2023,january,CH01,CHEMISTRY UNIT 1,70,,52,45,38,32,26
2023,january,CH02,CHEMISTRY UNIT 2,70,,52,45,38,32,26
2023,january,CH03,CHEMISTRY UNIT 3,80,64,56,48,40,33,26
2023,january,CH04,CHEMISTRY UNIT 4,80,63,55,47,39,31,24
2023,january,CH05,CHEMISTRY UNIT 5,60,48,43,38,33,28,23
2023,january,EC01,ECONOMICS UNIT 1,80,,58,50,42,34,26
