SubjectCode,Subject,Series,Component,MaxRawMark,A,B,C,D,E
9706,Accounting,march-2025,12,30,22,18,15,13,11
9706,Accounting,march-2025,22,90,60,50,42,34,25
9706,Accounting,march-2025,32,75,47,40,33,25,17
9706,Accounting,march-2025,42,50,36,33,27,22,16
9479,Art & Design,march-2025,01,100,75,65,55,45,35
9479,Art & Design,march-2025,02,100,72,62,52,42,32
9479,Art & Design,march-2025,03,100,75,65,55,45,35
9700,Biology,march-2025,12,40,30,27,23,20,17
9700,Biology,march-2025,22,60,38,35,30,24,18
9700,Biology,march-2025,33,40,34,31,28,25,23
9700,Biology,march-2025,42,100,69,61,53,45,37
9700,Biology,march-2025,52,30,23,20,17,14,11
9609,Business,march-2025,12,40,37,33,30,27,25
9609,Business,march-2025,22,60,48,44,39,34,29
9609,Business,march-2025,32,60,41,37,33,28,22
9609,Business,march-2025,42,40,27,24,20,16,13
9980,Cambridge International Project,march-2025,01,80,57,50,43,36,30
9701,Chemistry,march-2025,12,40,29,27,22,17,13
9701,Chemistry,march-2025,22,60,43,37,33,28,23
9701,Chemistry,march-2025,33,40,25,22,19,16,13
9701,Chemistry,march-2025,42,100,61,54,45,35,24
9701,Chemistry,march-2025,52,30,23,18,15,12,10
9708,Economics,march-2025,12,30,23,20,17,14,12
9708,Economics,march-2025,22,60,29,26,22,19,15
9708,Economics,march-2025,32,30,23,21,18,15,13
9708,Economics,march-2025,42,60,35,30,26,22,17
8021,English General Paper AS Level,march-2025,12,30,22,19,17,15,13
8021,English General Paper AS Level,march-2025,22,50,35,32,28,24,20
9093,English Language,march-2025,12,50,35,30,27,24,20
9093,English Language,march-2025,22,50,34,29,25,21,18
9093,English Language,march-2025,32,50,37,31,25,20,15
9093,English Language,march-2025,42,50,37,32,27,21,15
9695,English Literature,march-2025,12,50,36,32,28,24,20
9695,English Literature,march-2025,22,50,35,31,26,22,18
9695,English Literature,march-2025,32,50,39,33,29,24,20
9695,English Literature,march-2025,42,50,40,34,29,25,19
9239,Global Perspectives & Research,march-2025,02,40,29,26,23,21,19
9239,Global Perspectives & Research,march-2025,03,40,27,25,23,21,19
9239,Global Perspectives & Research,march-2025,04,85,57,52,46,40,34
9239,Global Perspectives & Research,march-2025,12,45,33,31,28,25,22
